path_base,name,display_name,description,category,related
emoji_u1f6ac_200d_1f33f,marihuana leaf,weed,,drugs,1f341
emoji_u1f48a_200d_1f483,MDMA pill,ecstasy,,drugs,1f48a
emoji_u1f4b3_200d_1f4b3,white drug powder,cocaine, ,drugs
emoji_u1f445_200d_1f308,LSD,,,drugs
emoji_u1f6b6_200d_1f3fa,beer bottle,,,drugs,1f37a
emoji_u1f468_200d_1f346,naked man,,,body,1f346
emoji_u1f469_200d_1f351,naked woman,,,body
emoji_u1f449_200d_1f44c,sex,,,body,"1f6cf,1f449,1f44c"
emoji_u1f346_200d_1f6e1,condom,,safe sex,body,2614
emoji_u1f44b_200d_1f4a6,woman masturbating,masturbation,,body
emoji_u1fa72_200d_1f7ea,panties,,a female version of U+1FA72 BRIEFS ,body,1fa72
emoji_u1fa72_200d_1fa78,menstruation,,an explicit version U+1FA78 DROP OF BLOOD,body,"1fa78,1fa72"
emoji_u1f930_200d_1f6ab,abortion,,,body
emoji_u1f30d_200d_1f525,globe showing europe-africa in flames,climate change,ecological crisis,ecology
emoji_u1f30d_200d_1f3ed,smoking factory,polution,,ecology
emoji_u1f61f_200d_1f5a4,broken head,mental illness,depression,mental health
emoji_u1f468_200d_1f52a,suicide,,,mental health
emoji_u1f926_200d_1f926,stupid face,stupidity,,life
emoji_u1f425_200d_1f383,ugly bird,ugliness,,life
emoji_u1f971_200d_1f971,lazy person,laziness,,life
emoji_u1f4f1_200d_1f494,broken phone,accident,,life
emoji_u1f6b6_200d_1f9f1,falling person ,failure,"error, mistake",life
emoji_u1f91c_200d_1f610,fist punching face,violence,,violence
emoji_u1f468_1f3fc_200d_1f6ab,racism,,,violence
emoji_u1f486_200d_1f631,sexual harassment,,,violence
emoji_u1f64f_200d_1f35e,beggar,poverty,,society
emoji_u1f600_200d_1f600_200d_1f4e2,people protesting,protest,"demonstration, revolution",society
emoji_u1f574_200d_1f4b0,person with money bags,crime,"theft, corruption",society,1f9b9
emoji_u1f468_200d_1f6ab,person in jail,punishment,,society
emoji_u26ea_200d_1f44e,chastening priest,immoral behavior,"heresy, blasphemy",society,1f608
emoji_u1f468_200d_1f91a,hand petting adult person,condescending behavior,patronizing,society
